Metal:_A_Headbanger's_Journey	["film"]
Palace_of_Versailles	["historic building"]
Power_metal	["music genre"]
Afraid_to_Shoot_Strangers	["song"]
German_Empire	["former country"]
Fear_of_the_Dark_(song)	["song"]
Steve_Harris_(musician)	["musical artist"]
Deathgasm	["film"]
Iron_Maiden	["musical artist"]
Nightwish	["musical artist"]
Heavy_metal_music	["music genre"]
Germany	["country"]
Arachnophobia_(film)	["film", "album"]
Metal_Evolution	["television"]
And_Then_There_Were_None	["book"]
Coraline	["book"]
Real_Humans	["television"]
